,Ensemble,Activation function,# of hidden layers,Neurons per layer,Accuracy,Precision,Recall,F1
34,ridge,relu,25,10,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
35,ridge,relu,25,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
36,svm,identity,1,1,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
37,svm,identity,1,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
38,svm,identity,1,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
39,svm,identity,10,1,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
40,svm,identity,10,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
41,svm,identity,10,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
42,svm,identity,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
43,svm,identity,25,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
44,svm,identity,25,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
45,svm,logistic,1,1,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
46,svm,logistic,1,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
47,svm,logistic,1,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
48,svm,logistic,10,1,0.48971915747241723,0.0,0.0,0.0
49,svm,logistic,10,10,0.48971915747241723,0.0,0.0,0.0
50,svm,logistic,10,20,0.48971915747241723,0.0,0.0,0.0
51,svm,logistic,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
52,svm,logistic,25,10,0.48971915747241723,0.0,0.0,0.0
53,svm,logistic,25,20,0.48971915747241723,0.0,0.0,0.0
54,svm,tanh,1,1,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
55,svm,tanh,1,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
56,svm,tanh,1,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
57,svm,tanh,10,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
58,svm,tanh,10,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
59,svm,tanh,10,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
60,svm,tanh,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
61,svm,tanh,25,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
62,svm,tanh,25,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
63,svm,relu,1,1,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
64,svm,relu,1,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
65,svm,relu,1,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
66,svm,relu,10,1,0.48971915747241723,0.0,0.0,0.0
67,svm,relu,10,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
68,svm,relu,10,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
69,svm,relu,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
70,svm,relu,25,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
71,svm,relu,25,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
72,neural_network,identity,1,1,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
73,neural_network,identity,1,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
74,neural_network,identity,1,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
75,neural_network,identity,10,1,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
76,neural_network,identity,10,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
77,neural_network,identity,10,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
78,neural_network,identity,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
79,neural_network,identity,25,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
80,neural_network,identity,25,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
81,neural_network,logistic,1,1,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
82,neural_network,logistic,1,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
83,neural_network,logistic,1,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
84,neural_network,logistic,10,1,0.48971915747241723,0.0,0.0,0.0
85,neural_network,logistic,10,10,0.48971915747241723,0.0,0.0,0.0
86,neural_network,logistic,10,20,0.48971915747241723,0.0,0.0,0.0
87,neural_network,logistic,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
88,neural_network,logistic,25,10,0.48971915747241723,0.0,0.0,0.0
89,neural_network,logistic,25,20,0.48971915747241723,0.0,0.0,0.0
90,neural_network,tanh,1,1,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
91,neural_network,tanh,1,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
92,neural_network,tanh,1,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
93,neural_network,tanh,10,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
94,neural_network,tanh,10,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
95,neural_network,tanh,10,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
96,neural_network,tanh,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
97,neural_network,tanh,25,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
98,neural_network,tanh,25,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
99,neural_network,relu,1,1,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
100,neural_network,relu,1,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
101,neural_network,relu,1,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
102,neural_network,relu,10,1,0.48971915747241723,0.0,0.0,0.0
103,neural_network,relu,10,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
104,neural_network,relu,10,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
105,neural_network,relu,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
106,neural_network,relu,25,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
107,neural_network,relu,25,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
108,log_reg,identity,1,1,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
109,log_reg,identity,1,10,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
110,log_reg,identity,1,20,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
111,log_reg,identity,10,1,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
112,log_reg,identity,10,10,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
113,log_reg,identity,10,20,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
114,log_reg,identity,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
115,log_reg,identity,25,10,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
116,log_reg,identity,25,20,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
